sample	First_attempt_Plate	First_attempt_Plate.numeric
A22T141.1_1	First_attempt_Plate1	1
A22T141.1_2	First_attempt_Plate1	1
A22T141.1_3	First_attempt_Plate1	1
A22T141.1_4	First_attempt_Plate1	1
A22T141.1_5	First_attempt_Plate1	1
A22T141.1_6	First_attempt_Plate1	1
A22T141.1_7	First_attempt_Plate1	1
A22T141.1_8	First_attempt_Plate1	1
A22T141.1_9	First_attempt_Plate1	1
A22T141.1_10	First_attempt_Plate1	1
A22T141.1_11	First_attempt_Plate1	1
A22T141.1_12	First_attempt_Plate1	1
A22T141.1_13	First_attempt_Plate1	1
A22T141.1_14	First_attempt_Plate1	1
A22T141.1_15	First_attempt_Plate1	1
A22T141.1_16	First_attempt_Plate1	1
A22T141.1_17	First_attempt_Plate1	1
A22T141.1_18	First_attempt_Plate1	1
A22T141.1_19	First_attempt_Plate1	1
A22T141.1_20	First_attempt_Plate1	1
A22T141.1_21	First_attempt_Plate1	1
A22T141.1_22	First_attempt_Plate1	1
A22T141.1_23	First_attempt_Plate1	1
A22T141.1_24	First_attempt_Plate1	1
A22T141.1_25	First_attempt_Plate1	1
A22T141.1_26	First_attempt_Plate1	1
A22T141.1_27	First_attempt_Plate1	1
A22T141.1_28	First_attempt_Plate1	1
A22T141.1_29	First_attempt_Plate1	1
A22T141.1_30	First_attempt_Plate1	1
A22T141.1_31	First_attempt_Plate1	1
A22T141.1_32	First_attempt_Plate1	1
A22T141.1_33	First_attempt_Plate1	1
A22T141.1_34	First_attempt_Plate1	1
A22T141.1_35	First_attempt_Plate1	1
A22T141.1_36	First_attempt_Plate1	1
A22T141.1_37	First_attempt_Plate1	1
A22T141.1_38	First_attempt_Plate1	1
A22T141.1_39	First_attempt_Plate1	1
A22T141.1_40	First_attempt_Plate1	1
A22T141.1_41	First_attempt_Plate1	1
A22T141.1_42	First_attempt_Plate1	1
A22T141.1_43	First_attempt_Plate1	1
A22T141.1_44	First_attempt_Plate1	1
A22T141.1_45	First_attempt_Plate1	1
A22T141.1_46	First_attempt_Plate1	1
A22T141.1_47	First_attempt_Plate1	1
A22T141.1_48	First_attempt_Plate1	1
A22T141.1_49	First_attempt_Plate1	1
A22T141.1_50	First_attempt_Plate1	1
A22T141.1_51	First_attempt_Plate1	1
A22T141.1_52	First_attempt_Plate1	1
A22T141.1_53	First_attempt_Plate1	1
A22T141.1_54	First_attempt_Plate1	1
A22T141.2_1	First_attempt_Plate1	1
A22T141.2_2	First_attempt_Plate1	1
A22T141.2_3	First_attempt_Plate1	1
A22T141.2_4	First_attempt_Plate1	1
A22T141.2_5	First_attempt_Plate1	1
A22T141.2_6	First_attempt_Plate1	1
A22T141.2_7	First_attempt_Plate1	1
A22T141.2_8	First_attempt_Plate1	1
A22T141.2_9	First_attempt_Plate1	1
A22T141.2_10	First_attempt_Plate1	1
A22T141.2_11	First_attempt_Plate1	1
A22T141.2_12	First_attempt_Plate1	1
A22T141.2_13	First_attempt_Plate1	1
A22T141.2_14	First_attempt_Plate1	1
A22T141.2_15	First_attempt_Plate1	1
A22T141.2_16	First_attempt_Plate1	1
A22T141.2_17	First_attempt_Plate1	1
A22T141.2_18	First_attempt_Plate1	1
A22T141.2_19	First_attempt_Plate1	1
A22T141.2_20	First_attempt_Plate1	1
A22T141.2_21	First_attempt_Plate1	1
A22T141.2_22	First_attempt_Plate1	1
A22T141.2_23	First_attempt_Plate1	1
A22T141.2_24	First_attempt_Plate1	1
A22T141.2_25	First_attempt_Plate1	1
A22T141.2_26	First_attempt_Plate1	1
A22T141.2_27	First_attempt_Plate1	1
A22T141.2_28	First_attempt_Plate1	1
A22T141.2_29	First_attempt_Plate1	1
A22T141.2_30	First_attempt_Plate1	1
A22T141.2_31	First_attempt_Plate1	1
A22T141.2_32	First_attempt_Plate1	1
A22T141.2_33	First_attempt_Plate1	1
A22T141.3_1	First_attempt_Plate1	1
A22T141.3_2	First_attempt_Plate1	1
A22T141.3_3	First_attempt_Plate1	1
A22T141.3_4	First_attempt_Plate1	1
A22T141.3_5	First_attempt_Plate1	1
