Sample,Nest,Latitude,Longitude
10_1,10,51.389146,-0.030693
10_10,10,51.389146,-0.030693
10_11,10,51.389146,-0.030693
10_12,10,51.389146,-0.030693
10_13,10,51.389146,-0.030693
10_14,10,51.389146,-0.030693
10_15,10,51.389146,-0.030693
10_16,10,51.389146,-0.030693
10_17,10,51.389146,-0.030693
10_18,10,51.389146,-0.030693
10_2,10,51.389146,-0.030693
10_3,10,51.389146,-0.030693
10_4,10,51.389146,-0.030693
10_5,10,51.389146,-0.030693
10_6,10,51.389146,-0.030693
10_7,10,51.389146,-0.030693
10_8,10,51.389146,-0.030693
10_9,10,51.389146,-0.030693
11_1,11,51.389146,-0.030693
11_10,11,51.389146,-0.030693
11_11,11,51.389146,-0.030693
11_12,11,51.389146,-0.030693
11_13,11,51.389146,-0.030693
11_14,11,51.389146,-0.030693
11_15,11,51.389146,-0.030693
11_16,11,51.389146,-0.030693
11_17,11,51.389146,-0.030693
11_18,11,51.389146,-0.030693
11_19,11,51.389146,-0.030693
11_2,11,51.389146,-0.030693
11_20,11,51.389146,-0.030693
11_21,11,51.389146,-0.030693
11_22,11,51.389146,-0.030693
11_23,11,51.389146,-0.030693
11_24,11,51.389146,-0.030693
11_25,11,51.389146,-0.030693
11_26,11,51.389146,-0.030693
11_27,11,51.389146,-0.030693
11_28,11,51.389146,-0.030693
11_3,11,51.389146,-0.030693
11_4,11,51.389146,-0.030693
11_5,11,51.389146,-0.030693
11_6,11,51.389146,-0.030693
11_7,11,51.389146,-0.030693
11_8,11,51.389146,-0.030693
11_9,11,51.389146,-0.030693
12_1,12,51.384185,-0.032487
12_10,12,51.384185,-0.032487
12_11,12,51.384185,-0.032487
12_12,12,51.384185,-0.032487
12_2,12,51.384185,-0.032487
12_3,12,51.384185,-0.032487
12_4,12,51.384185,-0.032487
12_5,12,51.384185,-0.032487
12_6,12,51.384185,-0.032487
12_7,12,51.384185,-0.032487
12_8,12,51.384185,-0.032487
12_9,12,51.384185,-0.032487
14_1,14,51.38999199,-0.018661972
14_10,14,51.38999199,-0.018661972
14_11,14,51.38999199,-0.018661972
14_12,14,51.38999199,-0.018661972
14_13,14,51.38999199,-0.018661972
14_14,14,51.38999199,-0.018661972
14_15,14,51.38999199,-0.018661972
14_16,14,51.38999199,-0.018661972
14_17,14,51.38999199,-0.018661972
14_18,14,51.38999199,-0.018661972
14_19,14,51.38999199,-0.018661972
14_2,14,51.38999199,-0.018661972
14_20,14,51.38999199,-0.018661972
14_21,14,51.38999199,-0.018661972
14_22,14,51.38999199,-0.018661972
14_23,14,51.38999199,-0.018661972
14_24,14,51.38999199,-0.018661972
14_25,14,51.38999199,-0.018661972
14_26,14,51.38999199,-0.018661972
14_27,14,51.38999199,-0.018661972
14_28,14,51.38999199,-0.018661972
14_29,14,51.38999199,-0.018661972
14_3,14,51.38999199,-0.018661972
14_30,14,51.38999199,-0.018661972
14_31,14,51.38999199,-0.018661972
14_32,14,51.38999199,-0.018661972
14_33,14,51.38999199,-0.018661972
14_34,14,51.38999199,-0.018661972
14_35,14,51.38999199,-0.018661972
14_36,14,51.38999199,-0.018661972
14_37,14,51.38999199,-0.018661972
14_38,14,51.38999199,-0.018661972
14_39,14,51.38999199,-0.018661972
14_4,14,51.38999199,-0.018661972
14_40,14,51.38999199,-0.018661972
14_41,14,51.38999199,-0.018661972
14_42,14,51.38999199,-0.018661972
14_43,14,51.38999199,-0.018661972
14_44,14,51.38999199,-0.018661972
14_45,14,51.38999199,-0.018661972
14_46,14,51.38999199,-0.018661972
14_47,14,51.38999199,-0.018661972
14_48,14,51.38999199,-0.018661972
14_49,14,51.38999199,-0.018661972
14_5,14,51.38999199,-0.018661972
14_50,14,51.38999199,-0.018661972
14_51,14,51.38999199,-0.018661972
14_6,14,51.38999199,-0.018661972
14_7,14,51.38999199,-0.018661972
14_8,14,51.38999199,-0.018661972
14_9,14,51.38999199,-0.018661972
2_1,2,51.388235,-0.035892
2_2,2,51.388235,-0.035892
2_3,2,51.388235,-0.035892
2_4,2,51.388235,-0.035892
2_5,2,51.388235,-0.035892
26b_1,26,51.38989996,-0.018943017
26b_10,26,51.38989996,-0.018943017
26b_11,26,51.38989996,-0.018943017
26b_12,26,51.38989996,-0.018943017
26b_13,26,51.38989996,-0.018943017
26b_14,26,51.38989996,-0.018943017
26b_15,26,51.38989996,-0.018943017
26b_16,26,51.38989996,-0.018943017
26b_17,26,51.38989996,-0.018943017
26b_18,26,51.38989996,-0.018943017
26b_19,26,51.38989996,-0.018943017
26b_2,26,51.38989996,-0.018943017
26b_20,26,51.38989996,-0.018943017
26b_21,26,51.38989996,-0.018943017
26b_22,26,51.38989996,-0.018943017
26b_23,26,51.38989996,-0.018943017
26b_24,26,51.38989996,-0.018943017
26b_25,26,51.38989996,-0.018943017
26b_26,26,51.38989996,-0.018943017
26b_27,26,51.38989996,-0.018943017
26b_28,26,51.38989996,-0.018943017
26b_29,26,51.38989996,-0.018943017
26b_3,26,51.38989996,-0.018943017
26b_30,26,51.38989996,-0.018943017
26b_31,26,51.38989996,-0.018943017
26b_32,26,51.38989996,-0.018943017
26b_33,26,51.38989996,-0.018943017
26b_34,26,51.38989996,-0.018943017
26b_35,26,51.38989996,-0.018943017
26b_36,26,51.38989996,-0.018943017
26b_37,26,51.38989996,-0.018943017
26b_38,26,51.38989996,-0.018943017
26b_39,26,51.38989996,-0.018943017
26b_4,26,51.38989996,-0.018943017
26b_40,26,51.38989996,-0.018943017
26b_41,26,51.38989996,-0.018943017
26b_42,26,51.38989996,-0.018943017
26b_43,26,51.38989996,-0.018943017
26b_44,26,51.38989996,-0.018943017
26b_45,26,51.38989996,-0.018943017
26b_46,26,51.38989996,-0.018943017
26b_47,26,51.38989996,-0.018943017
26b_48,26,51.38989996,-0.018943017
26b_49,26,51.38989996,-0.018943017
26b_5,26,51.38989996,-0.018943017
26b_50,26,51.38989996,-0.018943017
26b_51,26,51.38989996,-0.018943017
26b_52,26,51.38989996,-0.018943017
26b_53,26,51.38989996,-0.018943017
26b_54,26,51.38989996,-0.018943017
26b_55,26,51.38989996,-0.018943017
26b_56,26,51.38989996,-0.018943017
26b_57,26,51.38989996,-0.018943017
26b_58,26,51.38989996,-0.018943017
26b_59,26,51.38989996,-0.018943017
26b_6,26,51.38989996,-0.018943017
26b_60,26,51.38989996,-0.018943017
26b_61,26,51.38989996,-0.018943017
26b_62,26,51.38989996,-0.018943017
26b_63,26,51.38989996,-0.018943017
26b_64,26,51.38989996,-0.018943017
26b_65,26,51.38989996,-0.018943017
26b_66,26,51.38989996,-0.018943017
26b_67,26,51.38989996,-0.018943017
26b_68,26,51.38989996,-0.018943017
26b_69,26,51.38989996,-0.018943017
26b_7,26,51.38989996,-0.018943017
26b_70,26,51.38989996,-0.018943017
26b_71,26,51.38989996,-0.018943017
26b_72,26,51.38989996,-0.018943017
26b_73,26,51.38989996,-0.018943017
26b_74,26,51.38989996,-0.018943017
26b_75,26,51.38989996,-0.018943017
26b_76,26,51.38989996,-0.018943017
26b_77,26,51.38989996,-0.018943017
26b_78,26,51.38989996,-0.018943017
26b_79,26,51.38989996,-0.018943017
26b_8,26,51.38989996,-0.018943017
26b_80,26,51.38989996,-0.018943017
26b_81,26,51.38989996,-0.018943017
26b_82,26,51.38989996,-0.018943017
26b_83,26,51.38989996,-0.018943017
26b_84,26,51.38989996,-0.018943017
26b_85,26,51.38989996,-0.018943017
26b_86,26,51.38989996,-0.018943017
