sample,Tree,Latitude,Longitude
A22T125.1_4,A22T125,51.446773,-0.25801165
A22T136.1_1,A22T136,51.445347,-0.25767737
A22T136.1_10,A22T136,51.445347,-0.25767737
A22T136.1_11,A22T136,51.445347,-0.25767737
A22T136.1_12,A22T136,51.445347,-0.25767737
A22T136.1_13,A22T136,51.445347,-0.25767737
A22T136.1_2,A22T136,51.445347,-0.25767737
A22T136.1_3,A22T136,51.445347,-0.25767737
A22T136.1_4,A22T136,51.445347,-0.25767737
A22T136.1_5,A22T136,51.445347,-0.25767737
A22T136.1_6,A22T136,51.445347,-0.25767737
A22T136.1_9,A22T136,51.445347,-0.25767737
A22T136.2_1,A22T136,51.445347,-0.25767737
A22T136.2_2,A22T136,51.445347,-0.25767737
A22T136.2_3,A22T136,51.445347,-0.25767737
A22T136.2_7,A22T136,51.445347,-0.25767737
A22T136.2_8,A22T136,51.445347,-0.25767737
A22T141.1_1,A22T141,51.445398,-0.2580496
A22T141.1_10,A22T141,51.445398,-0.2580496
A22T141.1_11,A22T141,51.445398,-0.2580496
A22T141.1_12,A22T141,51.445398,-0.2580496
A22T141.1_13,A22T141,51.445398,-0.2580496
A22T141.1_14,A22T141,51.445398,-0.2580496
A22T141.1_15,A22T141,51.445398,-0.2580496
A22T141.1_16,A22T141,51.445398,-0.2580496
A22T141.1_17,A22T141,51.445398,-0.2580496
A22T141.1_18,A22T141,51.445398,-0.2580496
A22T141.1_19,A22T141,51.445398,-0.2580496
A22T141.1_2,A22T141,51.445398,-0.2580496
A22T141.1_20,A22T141,51.445398,-0.2580496
A22T141.1_21,A22T141,51.445398,-0.2580496
A22T141.1_22,A22T141,51.445398,-0.2580496
A22T141.1_23,A22T141,51.445398,-0.2580496
A22T141.1_24,A22T141,51.445398,-0.2580496
A22T141.1_25,A22T141,51.445398,-0.2580496
A22T141.1_26,A22T141,51.445398,-0.2580496
A22T141.1_27,A22T141,51.445398,-0.2580496
A22T141.1_28,A22T141,51.445398,-0.2580496
A22T141.1_29,A22T141,51.445398,-0.2580496
A22T141.1_3,A22T141,51.445398,-0.2580496
A22T141.1_30,A22T141,51.445398,-0.2580496
A22T141.1_31,A22T141,51.445398,-0.2580496
A22T141.1_32,A22T141,51.445398,-0.2580496
A22T141.1_33,A22T141,51.445398,-0.2580496
A22T141.1_34,A22T141,51.445398,-0.2580496
A22T141.1_35,A22T141,51.445398,-0.2580496
A22T141.1_36,A22T141,51.445398,-0.2580496
A22T141.1_37,A22T141,51.445398,-0.2580496
A22T141.1_38,A22T141,51.445398,-0.2580496
A22T141.1_39,A22T141,51.445398,-0.2580496
A22T141.1_4,A22T141,51.445398,-0.2580496
A22T141.1_40,A22T141,51.445398,-0.2580496
A22T141.1_41,A22T141,51.445398,-0.2580496
A22T141.1_42,A22T141,51.445398,-0.2580496
A22T141.1_43,A22T141,51.445398,-0.2580496
A22T141.1_44,A22T141,51.445398,-0.2580496
A22T141.1_45,A22T141,51.445398,-0.2580496
A22T141.1_46,A22T141,51.445398,-0.2580496
A22T141.1_47,A22T141,51.445398,-0.2580496
A22T141.1_48,A22T141,51.445398,-0.2580496
A22T141.1_49,A22T141,51.445398,-0.2580496
A22T141.1_5,A22T141,51.445398,-0.2580496
A22T141.1_50,A22T141,51.445398,-0.2580496
A22T141.1_51,A22T141,51.445398,-0.2580496
A22T141.1_52,A22T141,51.445398,-0.2580496
A22T141.1_53,A22T141,51.445398,-0.2580496
A22T141.1_54,A22T141,51.445398,-0.2580496
A22T141.1_6,A22T141,51.445398,-0.2580496
A22T141.1_7,A22T141,51.445398,-0.2580496
A22T141.1_8,A22T141,51.445398,-0.2580496
A22T141.1_9,A22T141,51.445398,-0.2580496
A22T141.2_1,A22T141,51.445398,-0.2580496
A22T141.2_10,A22T141,51.445398,-0.2580496
A22T141.2_11,A22T141,51.445398,-0.2580496
A22T141.2_12,A22T141,51.445398,-0.2580496
A22T141.2_13,A22T141,51.445398,-0.2580496
A22T141.2_14,A22T141,51.445398,-0.2580496
A22T141.2_15,A22T141,51.445398,-0.2580496
A22T141.2_16,A22T141,51.445398,-0.2580496
A22T141.2_17,A22T141,51.445398,-0.2580496
A22T141.2_18,A22T141,51.445398,-0.2580496
A22T141.2_19,A22T141,51.445398,-0.2580496
